Id,track_id,artists,album_name,track_name,track_genre,duration_ms,mode,tempo,popularity,key,loudness,explicit,time_signature,danceability,energy,valence,acousticness,instrumentalness,speechiness,liveness
62957,02cIqYTYys4M1RBFiBKIEt,Rie fu,Rie fu,Life is Like a Boat,j-pop,300306,1,100.258,49,11,-8.471,False,4,0.666,0.371,0.468,0.502,4.55E-5,0.0274,0.211
62958,10zz9RZt9DnqcxNWksRNrx,Vaundy,strobo,怪獣の花唄,j-pop,224806,1,150.015,71,2,-3.498,False,4,0.425,0.939,0.638,0.00361,0,0.054,0.331
62959,5DBOBP2zmNUXSOzb7Syywd,Tommy heavenly6,Heavy Starry Heavenly,Pray,j-pop,271106,1,178.05,50,11,-3.663,False,4,0.392,0.956,0.541,9.72E-5,0.0278,0.0939,0.145
62960,08v1j4Hmy6uSiwXOnM5otQ,RADWIMPS,Your Name. (Deluxe Edition / Original Motion Picture Soundtrack),Zenzenzense - English Version,j-pop,279026,1,189.591,40,11,-3.872,False,4,0.356,0.888,0.642,2.73E-4,0,0.114,0.0675
62961,4SDeatb7hVoFT8WAv0ZmMQ,AmPm;Michael Kaneko,Best Part Of Us,Best Part Of Us,j-pop,241040,0,113.989,36,10,-7.966,False,4,0.76,0.679,0.598,0.142,0.0814,0.0354,0.101
62962,5xeoLspgsX1SuJmhqz0HHy,Yumi Matsutoya,OLIVE,最後の春休み,j-pop,282243,0,79.677,35,11,-8.893,False,4,0.518,0.412,0.295,0.6,0.00123,0.0285,0.0993
62963,080sJ3SvQBXeGO6q1oIF6z,Shota Shimizu,ALL SINGLES BEST,I miss you -refrain-,j-pop,329346,1,97.994,36,0,-4.621,False,4,0.588,0.666,0.585,0.234,0,0.0251,0.317
62964,2s2fORtcrwKwsmC4jNc8mJ,MAN WITH A MISSION,The World's On Fire,Seven Deadly Sins,j-pop,207000,0,142.887,56,8,-1.199,False,3,0.368,0.967,0.345,0.00497,0,0.15,0.223
62965,5G0NPSOTLepHxUhEMlVjWj,SPYAIR,Rockin' the World,サムライハート(Some Like It Hot!!),j-pop,191493,1,113.02,57,3,-2.069,False,4,0.603,0.961,0.549,0.00319,6.09E-6,0.0636,0.0477
62966,3tKggonCKJgCG7nroEH2np,Michael Bublé,I'll Never Not Love You,I'll Never Not Love You,j-pop,218390,1,144.363,60,11,-5.045,False,4,0.492,0.791,0.585,0.00816,1.87E-5,0.0703,0.11
62967,7r9v0CLTunOwlbvdOFFgZo,Fujii Kaze,HELP EVER HURT NEVER,Tsumi No Kaori,j-pop,214200,0,154.963,50,11,-5.745,False,4,0.517,0.861,0.842,0.0466,0,0.0644,0.31
62968,2EtscG8xGvOITpTS3O9DuF,KOBUKURO,ALL SINGLES BEST 2,流星,j-pop,307660,1,153.855,35,11,-5.037,False,4,0.376,0.551,0.256,0.698,1.01E-6,0.0292,0.324
62969,2vk8PCaUuAZ63dsi1lqkn0,Big Star,#1 Record (Remastered),Thirteen,j-pop,154480,0,117.116,54,0,-10.296,False,4,0.456,0.344,0.359,0.565,9.19E-6,0.0298,0.114
62970,2UHNvd8SjNGoEI6jXa2afx,櫻坂46,流れ弾 (Special Edition),On my way,j-pop,228573,1,137.931,36,9,-3.898,False,4,0.633,0.893,0.675,0.0562,0,0.0544,0.124
62971,2cpXGHCXMVYenUo7va9arE,EXILE,EXTREME BEST,時の描片 〜トキノカケラ〜,j-pop,297133,1,102.983,35,7,-4.441,False,4,0.686,0.781,0.752,0.146,0,0.0272,0.0593
62972,4HUmuIdScp4K9yjaCk73pD,Yura Yunita,YURA,Kataji,j-pop,222537,0,99.948,36,10,-4.771,False,4,0.872,0.581,0.691,0.289,7.72E-6,0.0593,0.0787
62973,3P3rZBtohKIs5fFlz0Od3N,サザンオールスターズ,NUDE MAN,Oh!クラウディア,j-pop,207507,1,138.109,35,7,-8.124,False,4,0.509,0.552,0.349,0.591,0,0.0323,0.262
62974,6VTqsood8U4PU4l8vIkcB8,Dohzi-T,誓い feat. YU-A,願い feat.YU-A <acoustic ver.>,j-pop,325933,1,168.735,35,2,-6.69,False,4,0.607,0.613,0.587,0.727,0,0.0852,0.332
62975,60tUVMP03Vdo8ObbDFmuEu,Mr.Children,EVERYTHING,CHILDREN'S WORLD,j-pop,307640,1,139.907,35,9,-8.289,False,4,0.516,0.879,0.886,0.00789,7.35E-5,0.0339,0.305
62976,3DzIir8DHaAK2ZXF0UWfJi,櫻坂46,Nobody's fault (Special Edition),Plastic regret,j-pop,221853,1,127.963,36,2,-3.687,False,4,0.711,0.893,0.855,0.428,0,0.0323,0.385
62977,4hHXrRknhUT8omL1QSXcg9,TUBE,BEST of TUBEst ~All Time Best~,ガラスのメモリーズ,j-pop,255146,0,111.71,35,4,-3.923,False,4,0.598,0.891,0.573,0.571,0,0.0533,0.31
62978,3BbBUezZTVqAIzoyyvxDrG,Berry Goodman,SING SING SING 6,Hello,j-pop,242946,1,94.985,36,8,-7.577,False,4,0.72,0.64,0.581,0.42,0,0.0461,0.117
62979,6qSn3UidshFbbzxhvId2wf,Creep Hyp,イト,君が猫で僕が犬,j-pop,224906,1,105.99,35,0,-4.952,False,4,0.726,0.738,0.916,0.23,1.11E-4,0.0243,0.311
62980,1Io7OqoTHDgM6BBf0o749L,YUKI,"Single Collection ""five-star""",メランコリニスタ,j-pop,264653,1,114.839,35,1,-4.446,False,4,0.76,0.842,0.625,0.229,0.0139,0.0421,0.358
62981,169n0UZ3Ffun6EIBO4i2i3,My Hair is Bad,時代をあつめて,悪口たち,j-pop,153360,1,137.861,36,10,-3.798,False,4,0.669,0.888,0.842,0.0116,0,0.0502,0.247
62982,1JWkD69eUsGG27nD9rzHyZ,Ello,Ello,Kisah Kita T'lah Usai,j-pop,278173,1,144.072,36,11,-7.416,False,4,0.501,0.45,0.282,0.264,1.03E-5,0.0266,0.104
62983,0iUVV85Q1PAenDqkwfbycd,Lisa Ekdahl,Stop! In the Name of Love,Stop! In the Name of Love,j-pop,229480,0,107.969,36,7,-12.156,False,4,0.729,0.229,0.364,0.949,0.0669,0.0317,0.131
62984,7i5IbgNkFA4JwfT4OAgdgD,9mm Parabellum Bullet,TOKYO - HALLOWEEN -,Vampiregirl,j-pop,191786,0,159.829,0,11,-3.702,False,4,0.378,0.934,0.602,0.0013,0.0149,0.107,0.322
62985,1A42o35sy8P3UQgm6ArWGD,the shes gone,MORE,君のパレード,j-pop,212560,1,133.071,36,8,-4.491,False,4,0.536,0.836,0.664,0.0225,0,0.0388,0.115
62986,5W3ih1h8VhaLDIvwgMIRvQ,GLAY;EXILE,EXTREME BEST,SCREAM,j-pop,327120,1,108.043,35,7,-3.962,False,4,0.596,0.927,0.588,0.0294,0,0.0546,0.0708
62987,2YPTVl6YYkjN3iE4WLvx3t,Novelbright,SKYWALK,Count on me,j-pop,218173,1,169.825,36,5,-0.874,False,4,0.326,0.951,0.599,0.0225,0,0.0676,0.46
62988,6PIfn2tJ1dhDBojV60T95E,9mm Parabellum Bullet,Halloween Hits,Vampiregirl,j-pop,191786,0,159.829,1,11,-3.702,False,4,0.378,0.934,0.602,0.0013,0.0149,0.107,0.322
62989,1eoQsc67QBYVC4Pw84Lqk8,9mm Parabellum Bullet,Rock & Halloween,Vampiregirl,j-pop,191786,0,159.829,1,11,-3.702,False,4,0.378,0.934,0.602,0.0013,0.0149,0.107,0.322
62990,0GyQ8MCMcla38fjfBZ5y7Y,9mm Parabellum Bullet,Helloween Party,Vampiregirl,j-pop,191786,0,159.829,1,11,-3.702,False,4,0.378,0.934,0.602,0.0013,0.0149,0.107,0.322
62991,1YfTEptpSZ3lCZDZcuqjEE,Asu Maralman,Yalanmış - Yalnızlık,Yalanmış,j-pop,181280,0,102.909,37,0,-4.463,False,4,0.578,0.737,0.734,0.621,0,0.0342,0.69
62992,3PocaVmCRctSQDbnz8gFSF,Glenn Fredly,Kacau Galau (Together Whatever Sessions Live),Medley: Sedih Tak Berujung / Akhir Cerita Cinta (Live) - Together Whatever Sessions Live,j-pop,605100,1,124.21,36,2,-11.87,False,4,0.329,0.41,0.141,0.0136,7.02E-5,0.0488,0.147
62993,59OXtvGZaRujmtNZnLOlO7,Tulus,Langsung Dari Konser Monokrom Jakarta (Live),Langit Abu - Abu - Live,j-pop,267990,1,77.735,37,2,-13.925,False,1,0.256,0.204,0.323,0.814,0,0.0843,0.702
62994,7cVX0XbrMraZTkYdrUXpaP,Erasmo Carlos;Marisa Monte,"Convida, Volume II",Tema de não quero ver você triste,j-pop,187960,1,97.98,38,2,-11.333,False,4,0.647,0.39,0.318,0.804,7.74E-6,0.0353,0.0808
62995,4j7CuBuHghewN8vWynNXTE,Bo Kaspers Orkester,Kaos,Det smartaste jag gjort,j-pop,247400,1,90.366,36,10,-10.563,False,4,0.51,0.499,0.312,0.397,0.00565,0.0299,0.107
62996,70tjkOzaNVqijwbGN8ensk,Marie Fredriksson,Den Sjunde Vågen,Mot okända hav,j-pop,233813,1,144.851,36,8,-10.707,False,4,0.362,0.212,0.138,0.922,0.00238,0.0319,0.139
62997,4A3tO9Xd36KJX2gu7ctSww,Reynaldo Armas,18 Excepcionales Exitos,Mi Credo,j-pop,243293,1,91.042,37,0,-9.346,False,3,0.67,0.545,0.886,0.622,0,0.0371,0.311
62998,3IgRrYHxRKCpwt25lU0Yca,Paulo Sérgio,Bis Jovem Guarda - Paulo Sergio,No Dia Em Que Parti,j-pop,142360,1,133.017,37,2,-5.651,False,4,0.604,0.582,0.749,0.524,0,0.0491,0.262
62999,1UhjmZcKXhl7PYtYrHKwRO,Madeleine Peyroux,Careless Love,Careless Love,j-pop,231786,1,108.244,36,1,-9.912,False,4,0.701,0.419,0.327,0.828,0.0368,0.0397,0.112
